feature_a_id	feature_b_id	feature_a_name	feature_b_name	feature_b_dataset	p_value
0	89	proteomics_1	proteomics_90	random.realistic.proteomics	5.422135184989804e-21
0	90	proteomics_1	proteomics_91	random.realistic.proteomics	3.437724282141222e-97
0	91	proteomics_1	proteomics_92	random.realistic.proteomics	4.74588217988266e-144
0	92	proteomics_1	proteomics_93	random.realistic.proteomics	1.3117286988284681e-49
0	93	proteomics_1	proteomics_94	random.realistic.proteomics	2.0329972064226323e-114
0	94	proteomics_1	proteomics_95	random.realistic.proteomics	0.0
0	95	proteomics_1	proteomics_96	random.realistic.proteomics	2.454942446665193e-13
0	96	proteomics_1	proteomics_97	random.realistic.proteomics	1.1767717859544346e-38
0	97	proteomics_1	proteomics_98	random.realistic.proteomics	0.0
0	98	proteomics_1	proteomics_99	random.realistic.proteomics	5.7466039291270725e-27
0	99	proteomics_1	proteomics_100	random.realistic.proteomics	2.0359569751892808e-225
0	100	proteomics_1	metagenomics_1	random.realistic.metagenomics	0.0
0	101	proteomics_1	metagenomics_2	random.realistic.metagenomics	8.173847090228669e-43
0	102	proteomics_1	metagenomics_3	random.realistic.metagenomics	3.005560149623497e-11
0	103	proteomics_1	metagenomics_4	random.realistic.metagenomics	1.6515519124219094e-106
0	104	proteomics_1	metagenomics_5	random.realistic.metagenomics	4.9724879548969975e-43
0	105	proteomics_1	metagenomics_6	random.realistic.metagenomics	6.773465381334021e-23
0	106	proteomics_1	metagenomics_7	random.realistic.metagenomics	3.600600377989129e-39
0	107	proteomics_1	metagenomics_8	random.realistic.metagenomics	6.583592534879996e-26
0	108	proteomics_1	metagenomics_9	random.realistic.metagenomics	2.0857825656321812e-19
0	109	proteomics_1	metagenomics_10	random.realistic.metagenomics	2.1646722551541125e-92
0	110	proteomics_1	metagenomics_11	random.realistic.metagenomics	4.599698802972185e-13
0	111	proteomics_1	metagenomics_12	random.realistic.metagenomics	8.851474189543055e-66
0	112	proteomics_1	metagenomics_13	random.realistic.metagenomics	1.0076657873268399e-45
0	113	proteomics_1	metagenomics_14	random.realistic.metagenomics	4.076156631217613e-45
0	114	proteomics_1	metagenomics_15	random.realistic.metagenomics	1.0727004950194176e-25
0	115	proteomics_1	metagenomics_16	random.realistic.metagenomics	5.679575129484569e-307
0	116	proteomics_1	metagenomics_17	random.realistic.metagenomics	0.0
0	117	proteomics_1	metagenomics_18	random.realistic.metagenomics	6.835396123875001e-61
0	118	proteomics_1	metagenomics_19	random.realistic.metagenomics	1.049785134325555e-23
0	119	proteomics_1	metagenomics_20	random.realistic.metagenomics	8.02285394928504e-29
0	120	proteomics_1	metagenomics_21	random.realistic.metagenomics	8.889705756941329e-68
0	121	proteomics_1	metagenomics_22	random.realistic.metagenomics	1.508591070283561e-17
0	122	proteomics_1	metagenomics_23	random.realistic.metagenomics	2.3885156284218395e-23
0	123	proteomics_1	metagenomics_24	random.realistic.metagenomics	1.141771619401624e-36
0	124	proteomics_1	metagenomics_25	random.realistic.metagenomics	1.3017686478413168e-49
0	125	proteomics_1	metagenomics_26	random.realistic.metagenomics	1.0423300797995305e-40
0	126	proteomics_1	metagenomics_27	random.realistic.metagenomics	0.0
0	127	proteomics_1	metagenomics_28	random.realistic.metagenomics	3.7059202659412544e-28
0	128	proteomics_1	metagenomics_29	random.realistic.metagenomics	7.496377302465037e-29
0	129	proteomics_1	metagenomics_30	random.realistic.metagenomics	2.0860944013537523e-23
0	130	proteomics_1	metagenomics_31	random.realistic.metagenomics	5.978686585042373e-169
0	131	proteomics_1	metagenomics_32	random.realistic.metagenomics	1.4416482866689167e-14
0	132	proteomics_1	metagenomics_33	random.realistic.metagenomics	5.2277113826325246e-36
0	133	proteomics_1	metagenomics_34	random.realistic.metagenomics	1.0729413829341639e-14
0	134	proteomics_1	metagenomics_35	random.realistic.metagenomics	4.802044778732734e-30
0	135	proteomics_1	metagenomics_36	random.realistic.metagenomics	4.266440643885343e-66
0	136	proteomics_1	metagenomics_37	random.realistic.metagenomics	9.955943226542545e-31
0	137	proteomics_1	metagenomics_38	random.realistic.metagenomics	2.3303869538144592e-38
0	138	proteomics_1	metagenomics_39	random.realistic.metagenomics	3.121068463695315e-20
0	139	proteomics_1	metagenomics_40	random.realistic.metagenomics	8.179626110006305e-148
0	140	proteomics_1	metagenomics_41	random.realistic.metagenomics	2.14940142895496e-170
0	141	proteomics_1	metagenomics_42	random.realistic.metagenomics	1.1294992239338098e-28
0	142	proteomics_1	metagenomics_43	random.realistic.metagenomics	1.2666188913486118e-156
0	143	proteomics_1	metagenomics_44	random.realistic.metagenomics	4.424534853357028e-62
0	144	proteomics_1	metagenomics_45	random.realistic.metagenomics	1.6701489470834176e-40
0	145	proteomics_1	metagenomics_46	random.realistic.metagenomics	8.38537414194855e-29
0	146	proteomics_1	metagenomics_47	random.realistic.metagenomics	2.2232611939761066e-28
0	147	proteomics_1	metagenomics_48	random.realistic.metagenomics	2.9820053545943143e-38
0	148	proteomics_1	metagenomics_49	random.realistic.metagenomics	3.4364184331028354e-17
0	149	proteomics_1	metagenomics_50	random.realistic.metagenomics	6.146400047525624e-75
1	0	proteomics_2	proteomics_1	random.realistic.proteomics	0.0
1	1	proteomics_2	proteomics_2	random.realistic.proteomics	0.0
1	2	proteomics_2	proteomics_3	random.realistic.proteomics	3.4058588606140744e-92
1	3	proteomics_2	proteomics_4	random.realistic.proteomics	7.815000290849283e-80
1	4	proteomics_2	proteomics_5	random.realistic.proteomics	7.715421250534945e-223
1	5	proteomics_2	proteomics_6	random.realistic.proteomics	2.707660017123276e-99
1	6	proteomics_2	proteomics_7	random.realistic.proteomics	2.383554959528646e-232
1	7	proteomics_2	proteomics_8	random.realistic.proteomics	0.0
1	8	proteomics_2	proteomics_9	random.realistic.proteomics	7.626503964394298e-137
1	9	proteomics_2	proteomics_10	random.realistic.proteomics	0.0
1	10	proteomics_2	proteomics_11	random.realistic.proteomics	3.25524178494684e-145
1	11	proteomics_2	proteomics_12	random.realistic.proteomics	6.666827480966802e-104
1	12	proteomics_2	proteomics_13	random.realistic.proteomics	4.5598127970140463e-135
1	13	proteomics_2	proteomics_14	random.realistic.proteomics	1.9436660121970337e-116
1	14	proteomics_2	proteomics_15	random.realistic.proteomics	4.423024645563226e-187
1	15	proteomics_2	proteomics_16	random.realistic.proteomics	2.661561182610998e-97
1	16	proteomics_2	proteomics_17	random.realistic.proteomics	7.506154273457322e-127
1	17	proteomics_2	proteomics_18	random.realistic.proteomics	2.248838357635297e-110
1	18	proteomics_2	proteomics_19	random.realistic.proteomics	1.1440598452204684e-68
1	19	proteomics_2	proteomics_20	random.realistic.proteomics	3.417145656241763e-108
1	20	proteomics_2	proteomics_21	random.realistic.proteomics	0.0
1	21	proteomics_2	proteomics_22	random.realistic.proteomics	9.289902596877277e-92
1	22	proteomics_2	proteomics_23	random.realistic.proteomics	2.7294021458823554e-194
1	23	proteomics_2	proteomics_24	random.realistic.proteomics	5.8066861296724846e-189
1	24	proteomics_2	proteomics_25	random.realistic.proteomics	2.1338126636264122e-277
1	25	proteomics_2	proteomics_26	random.realistic.proteomics	9.968200063183272e-162
1	26	proteomics_2	proteomics_27	random.realistic.proteomics	3.777066487059368e-135
1	27	proteomics_2	proteomics_28	random.realistic.proteomics	1.129879159774661e-157
1	28	proteomics_2	proteomics_29	random.realistic.proteomics	9.329607271798395e-124
1	29	proteomics_2	proteomics_30	random.realistic.proteomics	9.394726849652989e-91
1	30	proteomics_2	proteomics_31	random.realistic.proteomics	4.650920619559043e-91
1	31	proteomics_2	proteomics_32	random.realistic.proteomics	7.72182995462439e-163
1	32	proteomics_2	proteomics_33	random.realistic.proteomics	1.138000028254055e-137
1	33	proteomics_2	proteomics_34	random.realistic.proteomics	3.260800200125888e-57
1	34	proteomics_2	proteomics_35	random.realistic.proteomics	6.689579362104037e-78
1	35	proteomics_2	proteomics_36	random.realistic.proteomics	0.0
1	36	proteomics_2	proteomics_37	random.realistic.proteomics	1.0324204611118598e-140
1	37	proteomics_2	proteomics_38	random.realistic.proteomics	9.760988187179191e-130
1	38	proteomics_2	proteomics_39	random.realistic.proteomics	0.0
1	39	proteomics_2	proteomics_40	random.realistic.proteomics	0.0
1	40	proteomics_2	proteomics_41	random.realistic.proteomics	6.634293696708067e-132
1	41	proteomics_2	proteomics_42	random.realistic.proteomics	4.194835058610634e-42
1	42	proteomics_2	proteomics_43	random.realistic.proteomics	0.0
1	43	proteomics_2	proteomics_44	random.realistic.proteomics	5.049342580640796e-113
1	44	proteomics_2	proteomics_45	random.realistic.proteomics	0.0
1	45	proteomics_2	proteomics_46	random.realistic.proteomics	6.3354538560314e-300
1	46	proteomics_2	proteomics_47	random.realistic.proteomics	4.478699454664285e-114
1	47	proteomics_2	proteomics_48	random.realistic.proteomics	8.830353474057476e-67
1	48	proteomics_2	proteomics_49	random.realistic.proteomics	1.6645070849672824e-106
1	49	proteomics_2	proteomics_50	random.realistic.proteomics	2.8318844708435752e-77
1	50	proteomics_2	proteomics_51	random.realistic.proteomics	6.830002039393341e-155
1	51	proteomics_2	proteomics_52	random.realistic.proteomics	6.9875399538949725e-177
1	52	proteomics_2	proteomics_53	random.realistic.proteomics	1.5314065043686366e-111
1	53	proteomics_2	proteomics_54	random.realistic.proteomics	8.852920807252073e-193
1	54	proteomics_2	proteomics_55	random.realistic.proteomics	2.1879213161465264e-210
1	55	proteomics_2	proteomics_56	random.realistic.proteomics	4.0175605482344704e-135
1	56	proteomics_2	proteomics_57	random.realistic.proteomics	3.715761861455071e-59
1	57	proteomics_2	proteomics_58	random.realistic.proteomics	5.34491842496225e-143
1	58	proteomics_2	proteomics_59	random.realistic.proteomics	1.0631104094191405e-93
1	59	proteomics_2	proteomics_60	random.realistic.proteomics	4.545852698222104e-59
1	60	proteomics_2	proteomics_61	random.realistic.proteomics	9.521687065808206e-200
1	61	proteomics_2	proteomics_62	random.realistic.proteomics	7.112396191900587e-209
1	62	proteomics_2	proteomics_63	random.realistic.proteomics	1.4310254309234809e-108
1	63	proteomics_2	proteomics_64	random.realistic.proteomics	4.308803250974681e-140
1	64	proteomics_2	proteomics_65	random.realistic.proteomics	2.5114849512400227e-127
1	65	proteomics_2	proteomics_66	random.realistic.proteomics	0.0
1	66	proteomics_2	proteomics_67	random.realistic.proteomics	3.8881853395559115e-159
1	67	proteomics_2	proteomics_68	random.realistic.proteomics	6.630800066411738e-207
1	68	proteomics_2	proteomics_69	random.realistic.proteomics	7.265838882716846e-179
1	69	proteomics_2	proteomics_70	random.realistic.proteomics	0.0
1	70	proteomics_2	proteomics_71	random.realistic.proteomics	0.0
1	71	proteomics_2	proteomics_72	random.realistic.proteomics	6.256503531654649e-132
1	72	proteomics_2	proteomics_73	random.realistic.proteomics	1.6132332553193569e-149
1	73	proteomics_2	proteomics_74	random.realistic.proteomics	2.6495798111867917e-165
1	74	proteomics_2	proteomics_75	random.realistic.proteomics	1.0573574075577784e-70
1	75	proteomics_2	proteomics_76	random.realistic.proteomics	1.1195311596192424e-175
1	76	proteomics_2	proteomics_77	random.realistic.proteomics	7.193976977219147e-165
1	77	proteomics_2	proteomics_78	random.realistic.proteomics	0.0
1	78	proteomics_2	proteomics_79	random.realistic.proteomics	7.782377096195553e-165
1	79	proteomics_2	proteomics_80	random.realistic.proteomics	5.906062934065628e-141
1	80	proteomics_2	proteomics_81	random.realistic.proteomics	0.0
1	81	proteomics_2	proteomics_82	random.realistic.proteomics	1.0704294182430676e-76
1	82	proteomics_2	proteomics_83	random.realistic.proteomics	0.0
1	83	proteomics_2	proteomics_84	random.realistic.proteomics	3.269304737413143e-111
1	84	proteomics_2	proteomics_85	random.realistic.proteomics	3.7631218957741573e-90
1	85	proteomics_2	proteomics_86	random.realistic.proteomics	2.7109992571518596e-258
1	86	proteomics_2	proteomics_87	random.realistic.proteomics	6.71096663931042e-100
1	87	proteomics_2	proteomics_88	random.realistic.proteomics	3.4982553564360775e-88
1	88	proteomics_2	proteomics_89	random.realistic.proteomics	7.901901604041514e-179
1	89	proteomics_2	proteomics_90	random.realistic.proteomics	1.4588114206199244e-80
1	90	proteomics_2	proteomics_91	random.realistic.proteomics	2.1882319701018214e-105
1	91	proteomics_2	proteomics_92	random.realistic.proteomics	3.778832432557069e-181
1	92	proteomics_2	proteomics_93	random.realistic.proteomics	2.0960254788725017e-115
1	93	proteomics_2	proteomics_94	random.realistic.proteomics	6.700148358959844e-194
1	94	proteomics_2	proteomics_95	random.realistic.proteomics	6.972248402864755e-169
1	95	proteomics_2	proteomics_96	random.realistic.proteomics	1.9097498394868874e-90
1	96	proteomics_2	proteomics_97	random.realistic.proteomics	1.2360552099740386e-159
1	97	proteomics_2	proteomics_98	random.realistic.proteomics	2.1508838890855824e-199
1	98	proteomics_2	proteomics_99	random.realistic.proteomics	0.0
1	99	proteomics_2	proteomics_100	random.realistic.proteomics	4.230201234402525e-177
1	100	proteomics_2	metagenomics_1	random.realistic.metagenomics	5.419486973546599e-146
1	101	proteomics_2	metagenomics_2	random.realistic.metagenomics	0.0
1	102	proteomics_2	metagenomics_3	random.realistic.metagenomics	1.5542510059023443e-45
1	103	proteomics_2	metagenomics_4	random.realistic.metagenomics	1.669825648110248e-84
1	104	proteomics_2	metagenomics_5	random.realistic.metagenomics	1.3893286049487239e-70
1	105	proteomics_2	metagenomics_6	random.realistic.metagenomics	0.0
1	106	proteomics_2	metagenomics_7	random.realistic.metagenomics	2.2990538101110293e-40
1	107	proteomics_2	metagenomics_8	random.realistic.metagenomics	2.812028603936616e-102
1	108	proteomics_2	metagenomics_9	random.realistic.metagenomics	2.4262734655154335e-280
1	109	proteomics_2	metagenomics_10	random.realistic.metagenomics	2.873421654250082e-108
1	110	proteomics_2	metagenomics_11	random.realistic.metagenomics	2.301606648670185e-186
1	111	proteomics_2	metagenomics_12	random.realistic.metagenomics	7.335497795164238e-140
1	112	proteomics_2	metagenomics_13	random.realistic.metagenomics	3.2383168144558153e-260
1	113	proteomics_2	metagenomics_14	random.realistic.metagenomics	4.102465398973056e-155
1	114	proteomics_2	metagenomics_15	random.realistic.metagenomics	6.125314097327716e-199
1	115	proteomics_2	metagenomics_16	random.realistic.metagenomics	7.449622042218075e-75
1	116	proteomics_2	metagenomics_17	random.realistic.metagenomics	1.5349793486447133e-184
1	117	proteomics_2	metagenomics_18	random.realistic.metagenomics	2.3502628139650354e-67
1	118	proteomics_2	metagenomics_19	random.realistic.metagenomics	7.97426811776327e-110
1	119	proteomics_2	metagenomics_20	random.realistic.metagenomics	1.7765246829712078e-116
1	120	proteomics_2	metagenomics_21	random.realistic.metagenomics	8.628191996614028e-68
1	121	proteomics_2	metagenomics_22	random.realistic.metagenomics	5.5682472934353465e-89
1	122	proteomics_2	metagenomics_23	random.realistic.metagenomics	3.613987620764532e-169
1	123	proteomics_2	metagenomics_24	random.realistic.metagenomics	4.1140695765372205e-101
1	124	proteomics_2	metagenomics_25	random.realistic.metagenomics	1.6897345032491533e-191
1	125	proteomics_2	metagenomics_26	random.realistic.metagenomics	5.909820839003922e-176
1	126	proteomics_2	metagenomics_27	random.realistic.metagenomics	2.5897141898538136e-222
1	127	proteomics_2	metagenomics_28	random.realistic.metagenomics	2.69796910280752e-284
1	128	proteomics_2	metagenomics_29	random.realistic.metagenomics	4.729737374675889e-93
1	129	proteomics_2	metagenomics_30	random.realistic.metagenomics	3.1824110931761216e-64
1	130	proteomics_2	metagenomics_31	random.realistic.metagenomics	8.38034828289873e-119
1	131	proteomics_2	metagenomics_32	random.realistic.metagenomics	3.8654736500017144e-211
1	132	proteomics_2	metagenomics_33	random.realistic.metagenomics	4.234313511941296e-158
1	133	proteomics_2	metagenomics_34	random.realistic.metagenomics	1.8110381271263188e-95
1	134	proteomics_2	metagenomics_35	random.realistic.metagenomics	1.4104307288960167e-300
1	135	proteomics_2	metagenomics_36	random.realistic.metagenomics	2.4642090753800087e-155
1	136	proteomics_2	metagenomics_37	random.realistic.metagenomics	0.0
1	137	proteomics_2	metagenomics_38	random.realistic.metagenomics	4.144100708606407e-158
1	138	proteomics_2	metagenomics_39	random.realistic.metagenomics	3.155652421378109e-197
1	139	proteomics_2	metagenomics_40	random.realistic.metagenomics	9.857724467496102e-70
1	140	proteomics_2	metagenomics_41	random.realistic.metagenomics	2.7337864281642592e-238
1	141	proteomics_2	metagenomics_42	random.realistic.metagenomics	1.3541674341329238e-227
1	142	proteomics_2	metagenomics_43	random.realistic.metagenomics	3.6072861875816275e-140
1	143	proteomics_2	metagenomics_44	random.realistic.metagenomics	8.28830569030883e-183
1	144	proteomics_2	metagenomics_45	random.realistic.metagenomics	4.3855634917151553e-157
1	145	proteomics_2	metagenomics_46	random.realistic.metagenomics	0.0
1	146	proteomics_2	metagenomics_47	random.realistic.metagenomics	5.510808503509131e-226
1	147	proteomics_2	metagenomics_48	random.realistic.metagenomics	3.826106256970393e-105
1	148	proteomics_2	metagenomics_49	random.realistic.metagenomics	9.957051396254533e-191
1	149	proteomics_2	metagenomics_50	random.realistic.metagenomics	0.0
2	0	proteomics_3	proteomics_1	random.realistic.proteomics	1.0458530858089448e-143
2	1	proteomics_3	proteomics_2	random.realistic.proteomics	2.7999697045652798e-28
2	2	proteomics_3	proteomics_3	random.realistic.proteomics	0.0
2	3	proteomics_3	proteomics_4	random.realistic.proteomics	5.0673790632546913e-101
2	4	proteomics_3	proteomics_5	random.realistic.proteomics	1.597887739359869e-26
2	5	proteomics_3	proteomics_6	random.realistic.proteomics	3.874319295057048e-91
2	6	proteomics_3	proteomics_7	random.realistic.proteomics	9.105832278016313e-85
2	7	proteomics_3	proteomics_8	random.realistic.proteomics	1.6828691570821642e-53
2	8	proteomics_3	proteomics_9	random.realistic.proteomics	1.2934046460833485e-30
2	9	proteomics_3	proteomics_10	random.realistic.proteomics	3.836799414748432e-56
2	10	proteomics_3	proteomics_11	random.realistic.proteomics	0.0
2	11	proteomics_3	proteomics_12	random.realistic.proteomics	0.0
2	12	proteomics_3	proteomics_13	random.realistic.proteomics	0.0
2	13	proteomics_3	proteomics_14	random.realistic.proteomics	0.0
2	14	proteomics_3	proteomics_15	random.realistic.proteomics	6.56557437172028e-17
2	15	proteomics_3	proteomics_16	random.realistic.proteomics	1.0433511921901655e-233
2	16	proteomics_3	proteomics_17	random.realistic.proteomics	1.2640611822431194e-227
2	17	proteomics_3	proteomics_18	random.realistic.proteomics	1.2072194639750403e-249
2	18	proteomics_3	proteomics_19	random.realistic.proteomics	6.395275631718438e-98
2	19	proteomics_3	proteomics_20	random.realistic.proteomics	4.511705151102125e-59
2	20	proteomics_3	proteomics_21	random.realistic.proteomics	3.037336039085942e-98
2	21	proteomics_3	proteomics_22	random.realistic.proteomics	8.400042178709453e-68
2	22	proteomics_3	proteomics_23	random.realistic.proteomics	0.0
2	23	proteomics_3	proteomics_24	random.realistic.proteomics	4.622482496233417e-73
2	24	proteomics_3	proteomics_25	random.realistic.proteomics	3.7846212909093695e-33
2	25	proteomics_3	proteomics_26	random.realistic.proteomics	1.519681155802407e-139
2	26	proteomics_3	proteomics_27	random.realistic.proteomics	3.951382363754851e-127
2	27	proteomics_3	proteomics_28	random.realistic.proteomics	4.841899927354176e-305
2	28	proteomics_3	proteomics_29	random.realistic.proteomics	1.2206465938912912e-228
2	29	proteomics_3	proteomics_30	random.realistic.proteomics	6.3200804159104535e-52
2	30	proteomics_3	proteomics_31	random.realistic.proteomics	2.815427639364749e-268
2	31	proteomics_3	proteomics_32	random.realistic.proteomics	8.906090963378632e-49
2	32	proteomics_3	proteomics_33	random.realistic.proteomics	3.282259152619176e-47
2	33	proteomics_3	proteomics_34	random.realistic.proteomics	6.958592568265211e-280
2	34	proteomics_3	proteomics_35	random.realistic.proteomics	4.641110486592998e-41
2	35	proteomics_3	proteomics_36	random.realistic.proteomics	8.711109956091287e-44
2	36	proteomics_3	proteomics_37	random.realistic.proteomics	5.393489335718665e-56
2	37	proteomics_3	proteomics_38	random.realistic.proteomics	0.0
2	38	proteomics_3	proteomics_39	random.realistic.proteomics	5.4662123186177505e-102
2	39	proteomics_3	proteomics_40	random.realistic.proteomics	2.792199880538961e-47
2	40	proteomics_3	proteomics_41	random.realistic.proteomics	2.1869535199265704e-74
2	41	proteomics_3	proteomics_42	random.realistic.proteomics	1.8149086335471055e-68
2	42	proteomics_3	proteomics_43	random.realistic.proteomics	1.1161024974298333e-62
2	43	proteomics_3	proteomics_44	random.realistic.proteomics	9.220037607347683e-83
2	44	proteomics_3	proteomics_45	random.realistic.proteomics	1.275943865345146e-171
2	45	proteomics_3	proteomics_46	random.realistic.proteomics	1.8094465119769664e-44
