epoch,step,elbo,discrete_loss,continuous_loss,kl_div,kl_weight
0,0,4628.34765625,15.202530860900879,4613.14501953125,38.709197998046875,0.0
0,1,4618.24853515625,15.77792739868164,4602.470703125,38.306156158447266,1.2903225806451614e-07
0,2,4619.80419921875,15.440528869628906,4604.36376953125,39.1552848815918,2.580645161290323e-07
0,3,4618.62109375,15.494144439697266,4603.126953125,37.574668884277344,3.870967741935484e-07
0,4,4613.35302734375,15.635514259338379,4597.71728515625,37.63331604003906,5.161290322580646e-07
0,5,4623.81298828125,14.885533332824707,4608.92724609375,39.40906524658203,6.451612903225807e-07
0,6,4608.59912109375,14.998505592346191,4593.6005859375,38.22795867919922,7.741935483870968e-07
0,7,4621.60107421875,15.510334014892578,4606.0908203125,39.0125732421875,9.03225806451613e-07
0,8,4622.38525390625,15.027881622314453,4607.357421875,39.627662658691406,1.0322580645161291e-06
0,9,4613.60986328125,15.16397762298584,4598.44580078125,39.130714416503906,1.1612903225806454e-06
0,10,4598.0458984375,15.314492225646973,4582.7314453125,39.07289123535156,1.2903225806451614e-06
0,11,4598.70751953125,15.073897361755371,4583.6337890625,40.43600845336914,1.4193548387096776e-06
0,12,4625.6787109375,15.5413818359375,4610.13720703125,40.651123046875,1.5483870967741937e-06
0,13,4614.5595703125,15.087610244750977,4599.47216796875,39.21327209472656,1.6774193548387097e-06
0,14,4605.6484375,15.15649700164795,4590.49169921875,37.73295593261719,1.806451612903226e-06
0,15,4604.9521484375,14.993288040161133,4589.958984375,39.09629821777344,1.935483870967742e-06
0,16,4603.8798828125,15.092802047729492,4588.787109375,38.56204605102539,2.0645161290322582e-06
0,17,4608.525390625,15.525508880615234,4593.0,39.4526252746582,2.193548387096774e-06
0,18,4603.3681640625,15.028060913085938,4588.34033203125,39.27440643310547,2.3225806451612907e-06
0,19,4602.21875,15.110211372375488,4587.1083984375,38.94730758666992,2.4516129032258066e-06
0,20,4608.17724609375,14.644879341125488,4593.5322265625,40.42049789428711,2.580645161290323e-06
0,21,4599.7294921875,14.85172176361084,4584.8779296875,41.17390441894531,2.7096774193548386e-06
0,22,4601.34521484375,14.537633895874023,4586.8076171875,39.123504638671875,2.8387096774193553e-06
0,23,4606.23193359375,15.403867721557617,4590.828125,41.609825134277344,2.967741935483871e-06
0,24,4608.2666015625,15.157604217529297,4593.10888671875,38.793853759765625,3.0967741935483874e-06
0,25,4594.39453125,14.804095268249512,4579.59033203125,40.39720153808594,3.225806451612903e-06
0,26,4585.671875,15.20127010345459,4570.470703125,40.144039154052734,3.3548387096774194e-06
0,27,4607.2685546875,15.00007438659668,4592.2685546875,39.804412841796875,3.4838709677419353e-06
0,28,4598.85009765625,15.050333023071289,4583.7998046875,40.39327621459961,3.612903225806452e-06
0,29,4591.86279296875,14.897293090820312,4576.96533203125,40.15867614746094,3.741935483870968e-06
0,30,4598.31494140625,14.424966812133789,4583.89013671875,39.78365707397461,3.870967741935484e-06
1,31,4593.5458984375,14.992667198181152,4578.55322265625,46.64257049560547,4.000000000000001e-06
1,32,4572.45703125,14.940486907958984,4557.5166015625,45.33441162109375,4.1290322580645165e-06
1,33,4583.126953125,14.616474151611328,4568.51025390625,48.47748565673828,4.258064516129032e-06
1,34,4566.10693359375,14.851582527160645,4551.25537109375,48.62812805175781,4.387096774193548e-06
1,35,4566.3046875,14.765542030334473,4551.5390625,47.38761520385742,4.516129032258065e-06
1,36,4576.89453125,14.584789276123047,4562.3095703125,51.0155143737793,4.6451612903225815e-06
1,37,4576.537109375,14.516467094421387,4562.0205078125,45.08702850341797,4.774193548387097e-06
1,38,4585.1923828125,14.89486026763916,4570.29736328125,49.174903869628906,4.903225806451613e-06
1,39,4567.6123046875,14.327184677124023,4553.28515625,46.21137237548828,5.032258064516129e-06
1,40,4574.9169921875,14.602238655090332,4560.31494140625,45.61359405517578,5.161290322580646e-06
1,41,4581.3291015625,15.397058486938477,4565.931640625,46.6466064453125,5.2903225806451614e-06
1,42,4574.7119140625,14.326554298400879,4560.384765625,48.592559814453125,5.419354838709677e-06
1,43,4563.09033203125,14.542530059814453,4548.54736328125,52.45771789550781,5.548387096774194e-06
1,44,4576.1328125,14.86773681640625,4561.2646484375,45.792423248291016,5.677419354838711e-06
1,45,4560.4775390625,14.133267402648926,4546.34375,51.05204772949219,5.806451612903226e-06
1,46,4566.99853515625,14.131603240966797,4552.8662109375,50.89612579345703,5.935483870967742e-06
1,47,4561.64501953125,14.487541198730469,4547.1572265625,48.384700775146484,6.064516129032258e-06
1,48,4566.27783203125,14.426787376403809,4551.8505859375,50.158538818359375,6.193548387096775e-06
1,49,4559.84912109375,14.244707107543945,4545.60400390625,51.11793518066406,6.322580645161291e-06
1,50,4561.13232421875,14.555940628051758,4546.57568359375,49.478389739990234,6.451612903225806e-06
1,51,4557.57861328125,14.528252601623535,4543.0498046875,47.59507751464844,6.580645161290323e-06
1,52,4560.44873046875,14.316100120544434,4546.13232421875,51.177093505859375,6.709677419354839e-06
1,53,4551.68310546875,14.36114501953125,4537.3212890625,48.755126953125,6.8387096774193555e-06
1,54,4549.3203125,14.404045104980469,4534.916015625,50.13837432861328,6.9677419354838705e-06
1,55,4557.41259765625,14.300005912780762,4543.1123046875,53.11423110961914,7.096774193548387e-06
1,56,4554.64404296875,14.303654670715332,4540.33984375,47.49665832519531,7.225806451612904e-06
1,57,4542.49853515625,14.118572235107422,4528.37939453125,46.73951721191406,7.35483870967742e-06
1,58,4548.57421875,14.073118209838867,4534.50048828125,45.9946174621582,7.483870967741936e-06
