sample	random.continuous_basic.proteomics	random.continuous_basic.metagenomics
226	0.5316198	0.85859543
227	0.08481725	0.69647795
228	0.84617114	0.9225556
229	0.36143008	0.16039445
230	0.6757306	0.75228703
231	0.26704085	0.61308444
232	0.67245084	0.5594199
233	0.84673893	0.7558915
234	0.36232692	0.8296738
235	0.63544196	0.62242347
236	0.0073143737	0.5316472
237	0.66240394	0.6178438
238	-0.36741963	0.7794988
239	0.7981337	0.7806934
240	-0.099013686	0.70774907
241	0.42414957	0.6697402
242	0.38682014	0.8890708
243	0.83956033	0.81076205
244	0.8545635	0.6470459
245	0.79160726	0.8899971
246	0.39531517	0.7632236
247	0.93319595	0.7475472
248	0.61144596	0.49227673
249	0.61283785	0.9077735
250	0.5311542	0.75902736
251	0.78755486	0.7438726
252	0.45062804	0.5826189
253	0.51235306	0.84238374
254	0.6811231	0.8681508
255	0.67904603	0.44384938
256	0.814909	0.84792966
257	0.6467541	0.822801
258	0.77692914	0.75877565
259	0.7161445	0.68114907
260	0.21193668	0.6856354
261	-0.033236645	0.45278028
262	0.6282804	0.90684414
263	0.5807408	0.9397545
264	0.06870875	0.8631679
265	0.085744515	0.5923278
266	0.882446	0.584384
267	0.14188096	0.2835029
268	0.5057158	0.71296877
269	0.32219052	0.5248686
270	0.5727649	0.4054804
271	0.86301	0.37156257
272	0.7618737	0.5830494
273	0.25910148	0.81425756
274	0.31698933	0.77577215
275	0.84121215	0.78261185
276	0.59287894	0.5216987
277	0.47625327	0.7421202
278	0.13994355	0.63525146
279	0.32710233	0.80693364
280	0.44529244	0.55452675
281	0.73165154	0.5860971
282	0.040385753	-0.1549044
283	0.14626329	0.5640986
284	-0.6246728	0.59457374
285	0.8687894	0.62365
286	0.71295506	0.76641804
287	0.5178881	0.7527381
288	0.84890544	0.84237313
289	0.6234743	0.78266597
290	0.020782476	0.7231167
291	0.2444638	0.6354121
292	0.47301462	0.48595127
293	-0.85895866	0.49674475
294	0.27453542	0.7446201
295	0.70206827	0.7705122
296	0.20851319	0.9021614
297	0.867857	0.46460396
298	0.637384	0.6139141
299	0.14173934	0.59746146
300	0.27949214	0.45222586
301	0.55214745	0.922984
302	0.12211025	0.7913174
303	0.43911245	0.78470325
304	-0.3844097	0.77559227
305	0.6250032	0.6345148
306	0.5073508	0.9319258
307	0.53550667	0.85809547
308	-0.0065107914	0.7684233
309	0.8303829	0.72258115
310	0.5919734	0.9237998
311	0.5388427	0.76116735
312	0.2885491	0.9312633
313	0.42868692	0.8922591
314	0.40077496	0.6112621
315	0.5170813	0.7349139
316	0.7070957	0.8879551
317	0.7297951	0.71794367
318	0.40759024	0.67145354
319	0.57039297	0.09816678
320	0.4514122	0.6948451
321	0.32922474	0.62055933
322	0.82835674	0.7242245
323	0.746119	0.5860781
324	0.9648451	0.6604511
325	0.3312102	0.6023004
326	-0.6643291	0.6754311
327	0.78772736	-0.046230223
328	0.639297	0.71852726
329	0.56168866	0.37071958
330	0.6178529	0.81925464
331	0.08460063	0.15692611
332	0.6215782	0.783348
333	0.38429043	0.90603596
334	0.61181873	0.54008645
335	0.12393946	0.8247803
336	0.42311054	0.8620465
337	0.51541585	0.6950964
338	0.46104795	0.89798284
339	0.7277761	0.81226146
340	0.81186086	0.83421427
341	0.5042853	0.75822127
342	0.9439331	0.66957366
343	0.52970105	0.6038822
344	0.63544494	0.7187547
345	0.0010261709	0.60608655
346	0.86868584	0.7963387
347	0.57475245	0.7273709
348	0.7662722	0.07474803
349	0.7117283	0.7446453
350	0.7583029	0.7176882
351	0.84979177	0.6886958
352	0.15315287	0.787832
353	0.55424666	0.81598806
354	0.38709468	-0.08545663
355	0.5655297	0.6620125
356	-0.06263729	0.7950796
357	0.0985819	0.7923057
358	0.501163	0.96618813
359	0.5291174	0.8238485
360	0.5004275	0.88956285
361	0.79977053	0.888297
362	0.73914057	0.6795314
363	0.6816324	0.60563207
364	0.9088134	0.48591775
365	0.26695982	0.61541843
366	0.30695063	0.6974292
367	0.029538527	0.6268989
368	0.81295097	0.23705481
369	0.5900619	0.87496376
370	0.7820119	0.6613068
371	0.83068615	0.2101116
372	0.11332944	0.75418
373	0.6894027	0.81066334
374	0.9438884	0.89292645
375	0.17056264	0.8194163
376	-0.3800806	0.73880166
377	0.41545916	0.79190475
378	0.9768349	0.9274945
379	0.867008	0.7249347
380	0.66381305	0.81804883
381	0.5034387	0.9336845
382	0.080999896	0.6771137
383	0.3306719	0.8402241
384	0.09369337	0.8534691
385	-0.750599	0.7835285
386	0.61657816	0.70939714
387	-0.096418455	0.73106235
388	0.72792727	0.7034785
389	0.49505758	0.15503412
390	0.9678517	0.47920936
391	0.78910136	0.91723734
392	0.76901186	0.78814995
393	0.9674991	0.73538417
394	0.4672486	0.48999384
395	0.25480142	0.6227978
396	0.5852204	0.82032436
397	-0.37640053	0.8117275
398	0.8646938	0.91368216
399	0.6957702	0.19805974
400	0.79561317	0.7771346
401	0.5672644	0.691195
402	0.86289155	0.4876649
403	-0.3105694	0.59284437
404	0.4844385	0.7576931
405	0.5053288	0.79823244
406	0.47523758	0.3652557
407	0.85511273	0.9591724
408	0.60306734	0.074316025
409	0.9289422	0.67103297
410	0.17817245	0.85856324
411	0.88292694	0.6229551
412	0.938147	0.9159527
413	0.749354	0.5893865
414	0.06861646	0.5641536
415	0.89170766	0.78605944
416	0.06688335	0.8925104
417	0.70061123	0.23749904
418	0.5114207	0.71232975
419	-0.032894734	0.49440938
420	0.803614	0.31456614
421	0.7345844	0.04033886
422	0.8970412	0.23401049
423	-0.7056446	0.59789807
424	0.77698225	0.60192645
425	0.70624346	0.7516513
426	0.11986363	0.80799127
427	0.09016121	0.8365196
428	0.2607744	0.7918026
429	0.49338225	0.22133587
430	0.28244567	0.48758954
431	0.23977637	0.82868177
432	0.6410155	0.7129936
433	0.122661285	0.8416217
434	0.62745655	0.43204412
435	0.54691416	0.25899068
436	0.05217981	0.78591794
437	0.45417476	0.09382307
438	-0.43818733	0.89017487
439	0.22939633	0.93113333
440	0.42062512	0.6855876
441	0.76353675	0.84702164
442	0.77184945	0.8403767
443	-0.3247171	0.4150758
444	0.31881484	0.7591988
445	0.5916638	0.33746088
446	0.93669707	0.51041085
447	0.35676262	0.27386343
448	0.3603421	0.41676417
449	-0.37916481	0.19029881
450	0.18515573	0.6933906
451	0.7892981	0.6834261
452	0.8939107	0.23695897
453	0.10738582	0.7798639
454	0.71297497	0.6258895
455	0.12451556	0.85848284
456	0.2948666	0.48715588
457	0.8244363	0.33765036
458	0.32667196	0.47326982
459	0.76488775	0.28220806
460	0.79836327	0.7507554
461	0.03358718	0.46690243
462	0.22305821	0.7623283
463	0.032107957	0.80884296
464	0.17650557	0.8105945
465	0.6269449	0.7568074
466	0.25157285	0.71897864
467	0.67452323	0.77550703
468	-0.3953837	0.805585
469	0.47991303	0.15892878
470	0.48358202	0.7778925
471	0.72050214	0.81628466
472	0.6814689	0.69734544
473	-0.109195694	0.48503876
474	0.8373847	0.9597514
475	0.58800364	0.551459
476	0.59233916	0.7421796
477	0.8795944	0.7307514
478	0.46593785	0.628712
479	0.05660304	0.7142423
480	0.323495	0.56075346
481	0.431668	0.68922466
482	0.7316721	0.36208582
483	0.11874539	0.6698741
484	0.49461198	0.78892994
485	0.6071513	0.07896307
486	0.59911853	-0.006106804
487	0.92499703	0.89159757
488	0.605437	0.91375124
489	0.86095774	0.4255357
490	0.7461953	0.28138375
491	0.8776278	0.55689895
492	-0.110845454	0.7354011
493	0.1393501	0.7930966
494	0.5996468	0.7757402
495	0.12905665	0.7041982
496	0.04077029	0.7595536
497	0.77766794	0.6228255
498	0.11466635	0.73298484
499	0.7707699	0.49404064
500	0.8507636	0.62835383
501	0.6289647	0.61095536
502	0.8392872	0.4625314
503	0.40970463	0.48732883
504	0.93069947	0.81321037
505	0.70137596	0.7790263
506	0.54788905	0.66934973
507	0.6929821	0.47237343
508	-0.0075116544	0.7671377
509	0.35730496	0.07341716
510	0.7900968	0.81706357
511	0.67663205	0.6789146
512	0.47649693	0.8228407
513	0.34663078	0.90718454
514	0.45580184	0.51273733
515	0.56240356	0.74502516
516	-0.295255	0.71909666
517	0.7927677	0.5034792
518	0.5335999	0.91075385
