epoch	Loss	Cross-Entropy	Sum of Squared Errors	KLD
0	2.5952101850509646	0.0	2.5952101850509646	0.0
1	2.4664528656005857	0.0	2.4664528656005857	0.0
2	2.370963649749756	0.0	2.370963649749756	0.0
3	2.3006310415267945	0.0	2.3006310415267945	0.0
4	2.248459267616272	0.0	2.248459267616272	0.0
5	2.206599268913269	0.0	2.206599268913269	0.0
6	2.176812219619751	0.0	2.176812219619751	0.0
7	2.157973704338074	0.0	2.157973704338074	0.0
8	2.132490663528442	0.0	2.132490663528442	0.0
9	2.1131627202033996	0.0	2.1131627202033996	0.0
10	2.0929280948638915	0.0	2.0929280948638915	0.0
11	2.0822741484642027	0.0	2.0822741484642027	0.0
12	2.0666976165771485	0.0	2.0666976165771485	0.0
13	2.0484767317771913	0.0	2.0484767317771913	0.0
14	2.0328705382347105	0.0	2.0328705382347105	6.197654922601714e-10
15	2.0205179142951963	0.0	2.0205179142951963	6.604975399948643e-10
16	2.011653525829315	0.0	2.011653525829315	6.897561000140939e-10
17	1.985833430290222	0.0	1.985833430290222	7.346826058629574e-10
18	1.9775472259521485	0.0	1.9775472259521485	7.72535970749999e-10
19	1.9508458280563354	0.0	1.9508458280563354	1.5209519288461593e-09
20	1.9443822741508483	0.0	1.9443822741508483	1.6103994027183433e-09
21	1.9269345808029175	0.0	1.9269345808029175	1.7060476764640952e-09
22	1.9085436248779297	0.0	1.9085436248779297	1.7912841832057325e-09
23	1.8896010684967042	0.0	1.8896010684967042	1.9026426989476873e-09
24	1.879660141468048	0.0	1.879660141468048	2.9188105443722634e-09
25	1.87596577167511	0.0	1.87596577167511	3.065374674093846e-09
26	1.8502789616584778	0.0	1.8502789616584778	3.2146817607880962e-09
27	1.8411043882369995	0.0	1.8411043882369995	3.360340778968407e-09
28	1.828510353565216	0.0	1.828510353565216	3.527947010084631e-09
29	1.8094047427177429	0.0	1.8094047427177429	3.709389617689851e-09
30	1.7944928908348083	0.0	1.7944928908348083	3.890582820353927e-09
31	1.7779161524772644	0.0	1.7779161524772644	4.0640379017631286e-09
32	1.765217399597168	0.0	1.765217399597168	4.227805132650531e-09
33	1.756536226272583	0.0	1.756536226272583	4.407303340059343e-09
34	1.7394778966903686	0.0	1.7394778966903686	4.5822726857380755e-09
35	1.7231222581863403	0.0	1.7231222581863403	4.7964242355647e-09
36	1.7129943299293517	0.0	1.7129943299293517	4.961591733021464e-09
37	1.7028112387657166	0.0	1.7028112387657166	5.1498133224470165e-09
38	1.6930867218971253	0.0	1.6930867218971253	5.345691009850384e-09
39	1.6684370565414428	0.0	1.6684370565414428	5.54936345764645e-09
40	1.6598521065711975	0.0	1.6598521065711975	5.699202958453498e-09
41	1.644221158027649	0.0	1.644221158027649	5.918513705793771e-09
42	1.6286258387565613	0.0	1.6286258387565613	6.098146503319413e-09
43	1.6156631159782409	0.0	1.6156631159782409	6.351959154216047e-09
44	1.6095457911491393	0.0	1.6095457911491393	6.557120446615272e-09
45	1.6015859270095825	0.0	1.6015859270095825	6.7297329042759205e-09
46	1.5844251704216004	0.0	1.5844251704216004	6.9700665772387534e-09
47	1.5678163409233092	0.0	1.5678163409233092	7.170608888884544e-09
48	1.571656312942505	0.0	1.571656312942505	7.333620990479517e-09
49	1.5092833078268804	0.0	1.5092833078268804	7.696561919776499e-09
50	1.5049908125039302	0.0	1.5049908125039302	7.829054751297373e-09
51	1.4888561747290872	0.0	1.4888561747290872	8.074425438029251e-09
52	1.4782469164241443	0.0	1.4782469164241443	8.275231678351936e-09
53	1.4716855901660342	0.0	1.4716855901660342	8.488893816838823e-09
54	1.461353645180211	0.0	1.461353645180211	8.668964670689686e-09
55	1.454831751910123	0.0	1.454831751910123	8.839666264963618e-09
56	1.4404892054471103	0.0	1.4404892054471103	9.03189611989319e-09
57	1.4376125227321277	0.0	1.4376125227321277	9.228319549603122e-09
58	1.4264611475395435	0.0	1.4264611475395435	9.394697060697994e-09
59	1.414157661524686	0.0	1.414157661524686	9.63080946978366e-09
60	1.409106250965234	0.0	1.409106250965234	9.833974604331079e-09
61	1.4037662600025986	0.0	1.4037662600025986	1.0053306443217369e-08
62	1.3955351186521125	0.0	1.3955351186521125	1.024946145464307e-08
63	1.384567506385572	0.0	1.384567506385572	1.0463959611253373e-08
64	1.3808363748319221	0.0	1.3808363748319221	1.0694018169315865e-08
65	1.3602077455231638	0.0	1.3602077455231638	1.0859192656198502e-08
66	1.362445556756222	0.0	1.362445556756222	1.1028853574509523e-08
67	1.3608886906594941	0.0	1.3608886906594941	1.1226315500108065e-08
68	1.3503403302394983	0.0	1.3503403302394983	1.145984258330097e-08
69	1.3454727584665471	0.0	1.3454727584665471	1.1614713419994656e-08
70	1.3370248043175899	0.0	1.3370248043175899	1.177974558301416e-08
71	1.3299045273751924	0.0	1.3299045273751924	1.201642559193901e-08
72	1.320047985423695	0.0	1.320047985423695	1.2241617093748531e-08
73	1.3172107393091375	0.0	1.3172107393091375	1.2481898639250769e-08
74	1.3150409026579424	0.0	1.3150409026579424	1.2543633660386327e-08
75	1.3015219442772143	0.0	1.3015219442772143	1.2838749672822001e-08
76	1.2999773133884778	0.0	1.2999773133884778	1.294793053919e-08
77	1.2976480650179314	0.0	1.2976480650179314	1.3124151866282897e-08
78	1.285769227779273	0.0	1.285769227779273	1.3327594435471232e-08
79	1.2799902431892627	0.0	1.2799902431892627	1.3494032127382663e-08
80	1.2723593278364702	0.0	1.2723593278364702	1.3711068697916468e-08
81	1.274956959666628	0.0	1.274956959666628	1.3852661078834155e-08
82	1.2692546808358394	0.0	1.2692546808358394	1.4031012096290507e-08
83	1.2697293722268306	0.0	1.2697293722268306	1.4192467349497898e-08
84	1.2569105047168154	0.0	1.2569105047168154	1.4349111124889794e-08
85	1.2583611697861643	0.0	1.2583611697861643	1.4514378170729564e-08
86	1.2501393556594849	0.0	1.2501393556594849	1.4715521972680728e-08
87	1.253962794939677	0.0	1.253962794939677	1.4758178894446632e-08
88	1.2409690148902661	0.0	1.2409690148902661	1.495786751025786e-08
89	1.2377631881020286	0.0	1.2377631881020286	1.508092775238903e-08
90	1.2306578014836167	0.0	1.2306578014836167	1.524247004708155e-08
91	1.2336856271281387	0.0	1.2336856271281387	1.5364628384399264e-08
92	1.2221678965019458	0.0	1.2221678965019458	1.551674296122614e-08
93	1.2186375820275508	0.0	1.2186375820275508	1.569971465962474e-08
94	1.2160424210808494	0.0	1.2160424210808494	1.581147011300097e-08
95	1.2110213149677624	0.0	1.2110213149677624	1.591438862173315e-08
96	1.2121651786746401	0.0	1.2121651786746401	1.5982078260139355e-08
97	1.2056698112776785	0.0	1.2056698112776785	1.6150518498327736e-08
98	1.203136176773996	0.0	1.203136176773996	1.6287163240986734e-08
99	1.1523621949282559	0.0	1.1523621949282559	1.653674038108606e-08
100	1.150917492129586	0.0	1.150917492129586	1.6579653125151337e-08
101	1.1502951871265064	0.0	1.1502951871265064	1.6719111832359926e-08
102	1.138776345686479	0.0	1.138776345686479	1.6864344748961976e-08
103	1.1405373865907842	0.0	1.1405373865907842	1.69270081587766e-08
104	1.1312410831451416	0.0	1.1312410831451416	1.7037013173974588e-08
105	1.1321338631890037	0.0	1.1321338631890037	1.7111343291792928e-08
106	1.1280993114818225	0.0	1.1280993114818225	1.7202689051032394e-08
107	1.128332175991752	0.0	1.128332175991752	1.731194218282636e-08
108	1.1216896067966113	0.0	1.1216896067966113	1.7367457936436702e-08
109	1.1203378168019382	0.0	1.1203378168019382	1.747515514112634e-08
110	1.110364323312586	0.0	1.110364323312586	1.757977537279616e-08
111	1.1146893013607373	0.0	1.1146893013607373	1.7666747014805587e-08
112	1.109763427214189	0.0	1.109763427214189	1.771381191223947e-08
113	1.107656267556277	0.0	1.107656267556277	1.7771913476203528e-08
114	1.1028888062997297	0.0	1.1028888062997297	1.7838557782438744e-08
115	1.0974517952312122	0.0	1.0974517952312122	1.8056722016591597e-08
116	1.096957510167902	0.0	1.096957510167902	1.806209840279652e-08
117	1.0949730385433545	0.0	1.0949730385433545	1.8155233114860246e-08
118	1.085852487520738	0.0	1.085852487520738	1.8272587322020296e-08
119	1.0849647955460981	0.0	1.0849647955460981	1.8341355424343998e-08
120	1.0850802118127996	0.0	1.0850802118127996	1.8405867375680497e-08
121	1.0808177156881853	0.0	1.0808177156881853	1.846703040991377e-08
122	1.0739826451648364	0.0	1.0739826451648364	1.85383499258633e-08
123	1.0747451728040522	0.0	1.0747451728040522	1.8598507057664516e-08
124	1.0808124921538613	0.0	1.0808124921538613	1.8631855654275983e-08
125	1.0690180713480169	0.0	1.0690180713480169	1.8759101827470204e-08
126	1.0719566724517129	0.0	1.0719566724517129	1.879695881774007e-08
127	1.0621364604343067	0.0	1.0621364604343067	1.8866436897595082e-08
128	1.0573768940838901	0.0	1.0573768940838901	1.892779274728892e-08
129	1.0665458278222517	0.0	1.0665458278222517	1.9005403150241695e-08
130	1.049236449328336	0.0	1.049236449328336	1.908396519599943e-08
131	1.0503714138811284	0.0	1.0503714138811284	1.9156482783893643e-08
132	1.046839416027069	0.0	1.046839416027069	1.9277705654019428e-08
133	1.0453074411912398	0.0	1.0453074411912398	1.932254574525545e-08
134	1.038887240669944	0.0	1.038887240669944	1.93592979223147e-08
135	1.0395367253910412	0.0	1.0395367253910412	1.9491004769763135e-08
136	1.0391037626699968	0.0	1.0391037626699968	1.9528962527911888e-08
137	1.029967811974612	0.0	1.029967811974612	1.960718173679962e-08
138	1.0354131622747942	0.0	1.0354131622747942	1.960823923432351e-08
139	1.0330777303739027	0.0	1.0330777303739027	1.96474420571297e-08
140	1.0328382632949136	0.0	1.0328382632949136	1.9737157443764565e-08
141	1.0311645377766003	0.0	1.0311645377766003	1.9767327330555418e-08
142	1.0226661264896393	0.0	1.0226661264896393	1.9856510456086406e-08
143	1.0216843323274092	0.0	1.0216843323274092	1.9873235663164287e-08
144	1.0239577510140159	0.0	1.0239577510140159	1.9951745871599706e-08
145	1.0166834403168072	0.0	1.0166834403168072	2.0046592991656616e-08
146	1.0184318829666485	0.0	1.0184318829666485	2.0076879391307433e-08
147	1.0099805701862683	0.0	1.0099805701862683	2.020608415940408e-08
148	1.0109487094662406	0.0	1.0109487094662406	2.021125085475846e-08
149	0.964583174387614	0.0	0.964583174387614	2.0350505873049467e-08
150	0.9648797233899434	0.0	0.9648797233899434	2.0423219382337266e-08
151	0.96106409629186	0.0	0.96106409629186	2.0464139775337268e-08
152	0.9642543872197469	0.0	0.9642543872197469	2.0488009392731026e-08
153	0.9620643138885498	0.0	0.9620643138885498	2.0572918420687832e-08
154	0.9596672574679057	0.0	0.9596672574679057	2.0522559770104938e-08
155	0.955822765827179	0.0	0.955822765827179	2.0614302679670495e-08
156	0.9514349420865377	0.0	0.9514349420865377	2.0664927310084144e-08
157	0.9514320453008016	0.0	0.9514320453008016	2.0702772592547566e-08
158	0.9453897873560587	0.0	0.9453897873560587	2.0765716139218664e-08
159	0.9500223636627197	0.0	0.9500223636627197	2.0766465288109732e-08
160	0.9502975424130757	0.0	0.9502975424130757	2.0856114820351954e-08
161	0.9438246250152588	0.0	0.9438246250152588	2.0874902754523342e-08
162	0.9405351519584656	0.0	0.9405351519584656	2.0937240208240838e-08
163	0.9413292328516643	0.0	0.9413292328516643	2.0973288172854154e-08
